,string,x,y
7709,move eighty-one to the right then go down  seventy-four,81,-74
7710,move ninety-eight to the right then go down  fifty-five,98,-55
7711,move ninety to the right then go down  sixty-seven,90,-67
7712,move twenty-five to the right then go down  twenty-seven,25,-27
7713,move eighty-five to the right then go down  nineteen,85,-19
7714,move sixty-one to the right then go down  forty-seven,61,-47
7715,move seventy-nine to the right then go down  sixty-seven,79,-67
7716,move two to the right then go down  fifty-nine,2,-59
7717,move forty-two to the right then go down  eighty-one,42,-81
7718,move six to the right then go down  thirty-two,6,-32
7719,move eighty-three to the right then go down  three,83,-3
7720,move sixty-eight to the right then go down  eighty-three,68,-83
7721,move ninety-six to the right then go down  twenty-five,96,-25
7722,move fifty-five to the right then go down  five,55,-5
7723,move twenty-eight to the right then go down  eighty-five,28,-85
7724,move seventy-three to the right then go down  two,73,-2
7725,move fifteen to the right then go down  seventy,15,-70
7726,move seventy-three to the right then go down  eighty-two,73,-82
7727,move sixty-one to the right then go down  eighty-eight,61,-88
7728,move twenty-two to the right then go down  forty-three,22,-43
7729,move forty-three to the right then go down  ninety-five,43,-95
7730,move eighty-nine to the right then go down  one hundred,89,-100
7731,move seventy-four to the right then go down  fifty-seven,74,-57
7732,move forty-nine to the right then go down  fifty-two,49,-52
7733,move ten to the right then go down  four,10,-4
7734,move sixteen to the right then go down  ten,16,-10
7735,move eleven to the right then go down  forty-four,11,-44
7736,move four to the right then go down  ninety-four,4,-94
7737,move thirty-two to the right then go down  nineteen,32,-19
7738,move two to the right then go down  sixty-eight,2,-68
7739,move thirty-five to the right then go down  seventy-three,35,-73
7740,move eighty-one to the right then go down  ninety-four,81,-94
7741,move twenty-five to the right then go down  forty-four,25,-44
7742,move fifty-nine to the right then go down  twenty-five,59,-25
7743,move eighty-two to the right then go down  eighty-five,82,-85
7744,move forty-four to the right then go down  fifty-four,44,-54
7745,move twelve to the right then go down  eighty-six,12,-86
7746,move fifty-nine to the right then go down  ninety-nine,59,-99
7747,move thirty-five to the right then go down  ninety-eight,35,-98
7748,move eight to the right then go down  fifteen,8,-15
7749,move sixty-five to the right then go down  ninety-two,65,-92
7750,move four to the right then go down  sixty,4,-60
7751,move eighty-seven to the right then go down  four,87,-4
7752,move fifty-one to the right then go down  ninety-two,51,-92
7753,move thirty-seven to the right then go down  thirty,37,-30
7754,move forty-one to the right then go down  fifty-five,41,-55
7755,move sixty-seven to the right then go down  sixteen,67,-16
7756,move seventy-seven to the right then go down  three,77,-3
7757,move ninety-five to the right then go down  twenty,95,-20
7758,move thirty to the right then go down  eighty-five,30,-85
7759,move fifty-one to the right then go down  forty-six,51,-46
7760,move one to the right then go down  fifty-seven,1,-57
7761,move seventy-four to the right then go down  twenty-seven,74,-27
7762,move eighty-three to the right then go down  twenty-three,83,-23
7763,move sixty-seven to the right then go down  twenty-eight,67,-28
7764,move seventy-one to the right then go down  eleven,71,-11
7765,move thirty-two to the right then go down  thirteen,32,-13
7766,move thirty-five to the right then go down  twenty-eight,35,-28
7767,move forty-seven to the right then go down  thirty-nine,47,-39
7768,move fifty-one to the right then go down  seventy-nine,51,-79
7769,move sixty-eight to the right then go down  seventy-three,68,-73
7770,move ninety to the right then go down  sixty-four,90,-64
7771,move fifty-eight to the right then go down  twenty-one,58,-21
7772,move eighty-nine to the right then go down  eleven,89,-11
7773,move sixty-nine to the right then go down  eighty-one,69,-81
7774,move fifty to the right then go down  ninety-two,50,-92
7775,move seventy-eight to the right then go down  twenty,78,-20
7776,move sixty-four to the right then go down  thirty-four,64,-34
7777,move seventeen to the right then go down  forty-four,17,-44
7778,move ninety-two to the right then go down  sixty-two,92,-62
7779,move forty-six to the right then go down  thirteen,46,-13
7780,move sixty-two to the right then go down  sixty-nine,62,-69
7781,move three to the right then go down  fifty-eight,3,-58
7782,move sixty-eight to the right then go down  ninety-four,68,-94
7783,move twenty to the right then go down  ninety-five,20,-95
7784,move sixty-nine to the right then go down  twenty-seven,69,-27
7785,move twenty-four to the right then go down  seventy-three,24,-73
7786,move fifty-eight to the right then go down  ninety-eight,58,-98
7787,move thirty-five to the right then go down  sixty-nine,35,-69
7788,move fifty-seven to the right then go down  forty-three,57,-43
7789,move thirty to the right then go down  fifty-four,30,-54
7790,move eleven to the right then go down  seventy-five,11,-75
7791,move thirty to the right then go down  forty-four,30,-44
7792,move seventy-five to the right then go down  nine,75,-9
7793,move ninety-five to the right then go down  thirty-two,95,-32
7794,move seventy-nine to the right then go down  eighty-nine,79,-89
7795,move thirteen to the right then go down  two,13,-2
7796,move fifty-eight to the right then go down  fifty-six,58,-56
7797,move twenty-five to the right then go down  five,25,-5
7798,move eighty-one to the right then go down  ninety-three,81,-93
7799,move ninety-four to the right then go down  twenty-two,94,-22
7800,move seventy-one to the right then go down  nine,71,-9
7801,move twenty to the right then go down  sixty-seven,20,-67
7802,move thirty-five to the right then go down  thirty-one,35,-31
7803,move thirty-three to the right then go down  fifty-nine,33,-59
7804,move thirty-one to the right then go down  ninety-eight,31,-98
7805,move thirty-seven to the right then go down  fourteen,37,-14
7806,move fifty-five to the right then go down  fifty-three,55,-53
7807,move four to the right then go down  thirty-two,4,-32
7808,move seven to the right then go down  twenty-one,7,-21
7809,move twenty-four to the right then go down  thirty-seven,24,-37
7810,move fifty-six to the right then go down  ninety-three,56,-93
7811,move twenty to the right then go down  sixty-nine,20,-69
7812,move fifty-nine to the right then go down  ninety-six,59,-96
7813,move ninety-one to the right then go down  eighty-one,91,-81
7814,move fifty-three to the right then go down  ninety-five,53,-95
7815,move twenty-three to the right then go down  fifty-three,23,-53
7816,move twelve to the right then go down  four,12,-4
7817,move seventy-seven to the right then go down  twenty-two,77,-22
7818,move forty-three to the right then go down  seventy-nine,43,-79
7819,move fifty-nine to the right then go down  fourteen,59,-14
7820,move seventy to the right then go down  fifty-three,70,-53
7821,move eighty-seven to the right then go down  one hundred,87,-100
7822,move eleven to the right then go down  forty-seven,11,-47
7823,move sixty-seven to the right then go down  thirteen,67,-13
7824,move ninety-one to the right then go down  three,91,-3
7825,move sixty-seven to the right then go down  forty,67,-40
7826,move ninety-five to the right then go down  thirty-seven,95,-37
7827,move five to the right then go down  fifty-one,5,-51
7828,move twelve to the right then go down  six,12,-6
7829,move eight to the right then go down  forty-four,8,-44
7830,move fifty-nine to the right then go down  seventy-four,59,-74
7831,move three to the right then go down  seventy-six,3,-76
7832,move eighty-three to the right then go down  five,83,-5
7833,move ninety-five to the right then go down  eighty-four,95,-84
7834,move twenty-six to the right then go down  thirty,26,-30
7835,move forty-four to the right then go down  twelve,44,-12
7836,move nineteen to the right then go down  eighty-seven,19,-87
7837,move eighty-three to the right then go down  three,83,-3
7838,move sixty-eight to the right then go down  eighty-six,68,-86
7839,move fifty-eight to the right then go down  ninety-four,58,-94
7840,move eighty-one to the right then go down  sixty-seven,81,-67
7841,move twelve to the right then go down  three,12,-3
7842,move ninety-four to the right then go down  seventy-nine,94,-79
7843,move eleven to the right then go down  twenty-eight,11,-28
7844,move thirty-one to the right then go down  ninety-five,31,-95
7845,move eighty-four to the right then go down  sixty-three,84,-63
7846,move five to the right then go down  fifty-three,5,-53
7847,move forty-five to the right then go down  forty-nine,45,-49
7848,move eighty-eight to the right then go down  four,88,-4
7849,move fifty-five to the right then go down  thirty,55,-30
7850,move fifty-six to the right then go down  seventy-five,56,-75
7851,move seven to the right then go down  thirty-five,7,-35
7852,move ninety-six to the right then go down  sixty-two,96,-62
7853,move twenty-five to the right then go down  fourteen,25,-14
7854,move six to the right then go down  sixty-three,6,-63
7855,move seventy-three to the right then go down  fifty-one,73,-51
7856,move twenty-three to the right then go down  eighty-one,23,-81
7857,move twenty-five to the right then go down  sixty-six,25,-66
7858,move thirty-eight to the right then go down  ninety,38,-90
7859,move thirty-six to the right then go down  forty-three,36,-43
7860,move three to the right then go down  ninety,3,-90
7861,move sixty-four to the right then go down  fifty-five,64,-55
7862,move eighty-one to the right then go down  thirty-six,81,-36
7863,move fifty-eight to the right then go down  fifty-eight,58,-58
7864,move forty-nine to the right then go down  eighty-one,49,-81
7865,move ninety-five to the right then go down  thirty-four,95,-34
7866,move sixty-eight to the right then go down  ninety-five,68,-95
7867,move eleven to the right then go down  nine,11,-9
7868,move five to the right then go down  fifty-three,5,-53
7869,move nine to the right then go down  seventy-nine,9,-79
7870,move thirteen to the right then go down  seventy-one,13,-71
7871,move one to the right then go down  thirty,1,-30
7872,move eighty-nine to the right then go down  twenty-seven,89,-27
7873,move fifty-three to the right then go down  eighty-seven,53,-87
7874,move two to the right then go down  forty-two,2,-42
7875,move forty-one to the right then go down  twenty-four,41,-24
7876,move nine to the right then go down  twenty-one,9,-21
7877,move forty-three to the right then go down  five,43,-5
7878,move seventy to the right then go down  ninety-five,70,-95
7879,move eighty-one to the right then go down  ninety,81,-90
7880,move sixty-nine to the right then go down  eleven,69,-11
7881,move twenty-eight to the right then go down  seventy-eight,28,-78
7882,move thirty-nine to the right then go down  seventy-three,39,-73
7883,move seventy-six to the right then go down  fourteen,76,-14
7884,move eighty-seven to the right then go down  ninety-seven,87,-97
7885,move sixty-nine to the right then go down  thirty-one,69,-31
7886,move forty-four to the right then go down  thirty-two,44,-32
7887,move fifty-four to the right then go down  sixty-one,54,-61
7888,move forty-eight to the right then go down  forty-six,48,-46
7889,move thirty-three to the right then go down  sixty-four,33,-64
7890,move fifty-six to the right then go down  sixteen,56,-16
7891,move fifty-two to the right then go down  fifty-three,52,-53
7892,move forty-three to the right then go down  thirty,43,-30
7893,move ninety-three to the right then go down  forty-seven,93,-47
7894,move eight to the right then go down  sixty-six,8,-66
7895,move three to the right then go down  seventy-one,3,-71
7896,move thirty-eight to the right then go down  fifteen,38,-15
7897,move seventy-five to the right then go down  twenty-eight,75,-28
7898,move ninety-seven to the right then go down  twenty-two,97,-22
7899,move one hundred to the right then go down  seventy-eight,100,-78
7900,move ninety to the right then go down  thirty-seven,90,-37
7901,move twenty-six to the right then go down  twenty-two,26,-22
7902,move seventy-six to the right then go down  twenty-two,76,-22
7903,move seventy-six to the right then go down  fourteen,76,-14
7904,move forty-nine to the right then go down  thirty-three,49,-33
7905,move sixty-seven to the right then go down  fifty-five,67,-55
7906,move ninety-six to the right then go down  thirty-four,96,-34
7907,move four to the right then go down  eighty-three,4,-83
7908,move ninety-six to the right then go down  fifty-nine,96,-59
7909,move thirteen to the right then go down  seventy-nine,13,-79
7910,move eleven to the right then go down  eight,11,-8
7911,move forty-eight to the right then go down  twenty-nine,48,-29
7912,move sixty-two to the right then go down  seventy-nine,62,-79
7913,move forty-four to the right then go down  eighty-nine,44,-89
7914,move eighty to the right then go down  fifty-three,80,-53
7915,move forty-four to the right then go down  ninety-one,44,-91
7916,move twenty-four to the right then go down  forty-one,24,-41
7917,move eighty-six to the right then go down  forty,86,-40
7918,move forty-nine to the right then go down  seventy-three,49,-73
7919,move sixty-seven to the right then go down  fifty-one,67,-51
7920,move ninety-four to the right then go down  eighty-four,94,-84
7921,move ninety-four to the right then go down  eighty-two,94,-82
7922,move twenty-four to the right then go down  sixty,24,-60
7923,move twenty-eight to the right then go down  fifty-nine,28,-59
7924,move sixty-seven to the right then go down  eighty-five,67,-85
7925,move seventy to the right then go down  thirty-nine,70,-39
7926,move sixty-seven to the right then go down  forty-five,67,-45
7927,move seventy-two to the right then go down  fifty-eight,72,-58
7928,move ninety-two to the right then go down  twenty,92,-20
7929,move twenty-one to the right then go down  thirty-six,21,-36
7930,move fifty-five to the right then go down  twenty-nine,55,-29
7931,move eighty-nine to the right then go down  ninety-one,89,-91
7932,move eighteen to the right then go down  twenty-six,18,-26
7933,move thirty-nine to the right then go down  five,39,-5
7934,move eleven to the right then go down  twenty-nine,11,-29
7935,move forty-two to the right then go down  seventy-four,42,-74
7936,move fifty-five to the right then go down  sixty,55,-60
7937,move sixty-six to the right then go down  sixty,66,-60
7938,move one hundred to the right then go down  ninety,100,-90
7939,move ninety-three to the right then go down  fourteen,93,-14
7940,move thirty-five to the right then go down  seventy-one,35,-71
7941,move sixty-eight to the right then go down  six,68,-6
7942,move thirty-four to the right then go down  seventy-two,34,-72
7943,move nine to the right then go down  ninety-two,9,-92
7944,move ninety-nine to the right then go down  ninety,99,-90
7945,move three to the right then go down  eighty-six,3,-86
7946,move nine to the right then go down  seventy-one,9,-71
7947,move forty to the right then go down  one,40,-1
7948,move eleven to the right then go down  thirty-eight,11,-38
7949,move forty-eight to the right then go down  nineteen,48,-19
7950,move seventy-two to the right then go down  fifty-three,72,-53
7951,move four to the right then go down  seventy-nine,4,-79
7952,move fifty-seven to the right then go down  fifty-three,57,-53
7953,move eighty-five to the right then go down  twenty-seven,85,-27
7954,move eighteen to the right then go down  nineteen,18,-19
7955,move ninety to the right then go down  ninety-six,90,-96
7956,move nine to the right then go down  sixty-three,9,-63
7957,move fifty-three to the right then go down  ninety-eight,53,-98
7958,move nineteen to the right then go down  seven,19,-7
7959,move eighty-eight to the right then go down  eighty-eight,88,-88
7960,move twenty-nine to the right then go down  thirty-nine,29,-39
7961,move twenty-seven to the right then go down  forty-six,27,-46
7962,move twenty-seven to the right then go down  eighty-six,27,-86
7963,move forty-eight to the right then go down  sixty-nine,48,-69
7964,move seventy-seven to the right then go down  ten,77,-10
7965,move one to the right then go down  seventy-six,1,-76
7966,move seventy-three to the right then go down  forty-three,73,-43
7967,move sixty-seven to the right then go down  twenty-eight,67,-28
7968,move ten to the right then go down  eighty-four,10,-84
7969,move thirty-five to the right then go down  six,35,-6
7970,move twelve to the right then go down  twenty-five,12,-25
7971,move two to the right then go down  seventy-eight,2,-78
7972,move thirty-five to the right then go down  seventy,35,-70
7973,move seventy-four to the right then go down  eighty-three,74,-83
7974,move forty-three to the right then go down  seventy-two,43,-72
7975,move eighty-four to the right then go down  seventy,84,-70
7976,move fifty-four to the right then go down  ninety-three,54,-93
7977,move forty to the right then go down  fifty-nine,40,-59
7978,move seventy-seven to the right then go down  eighty-nine,77,-89
7979,move forty-seven to the right then go down  ninety-six,47,-96
7980,move thirteen to the right then go down  fifty-nine,13,-59
7981,move thirty-six to the right then go down  eighteen,36,-18
7982,move fifty-four to the right then go down  twenty-nine,54,-29
7983,move nineteen to the right then go down  seven,19,-7
7984,move ninety-five to the right then go down  sixty-eight,95,-68
7985,move eighty-four to the right then go down  eighty-one,84,-81
7986,move forty to the right then go down  eighty,40,-80
7987,move eighty-one to the right then go down  twenty-nine,81,-29
7988,move one hundred to the right then go down  seventy-six,100,-76
7989,move fifteen to the right then go down  thirty-seven,15,-37
7990,move sixty-three to the right then go down  forty-seven,63,-47
7991,move twenty-eight to the right then go down  ninety-four,28,-94
7992,move ninety-seven to the right then go down  sixty-four,97,-64
7993,move thirty-one to the right then go down  two,31,-2
7994,move seventy-six to the right then go down  seventy-two,76,-72
7995,move fifty-three to the right then go down  seventy-five,53,-75
7996,move twenty-three to the right then go down  ninety-two,23,-92
7997,move thirteen to the right then go down  seventy-nine,13,-79
7998,move twenty to the right then go down  fifty-five,20,-55
7999,move one hundred to the right then go down  seventeen,100,-17
8000,move eighty-three to the left and then go up  eighty-nine,-83,89
8001,move forty to the left and then go up  sixty-two,-40,62
8002,move seventy-seven to the left and then go up  one hundred,-77,100
8003,move twenty-seven to the left and then go up  eighty-seven,-27,87
8004,move eighty-six to the left and then go up  forty-six,-86,46
8005,move ninety-one to the left and then go up  nine,-91,9
8006,move eighty-nine to the left and then go up  forty-eight,-89,48
8007,move eighty-three to the left and then go up  eighty-seven,-83,87
8008,move thirty-nine to the left and then go up  twelve,-39,12
8009,move sixty-one to the left and then go up  fifty-three,-61,53
8010,move two to the left and then go up  ninety-eight,-2,98
8011,move thirty-two to the left and then go up  twenty-five,-32,25
8012,move seventy-seven to the left and then go up  thirty-one,-77,31
8013,move twenty-three to the left and then go up  forty-four,-23,44
8014,move six to the left and then go up  seventy-six,-6,76
8015,move thirty-one to the left and then go up  forty-one,-31,41
8016,move eighty-four to the left and then go up  forty-five,-84,45
8017,move twenty-five to the left and then go up  seventy-four,-25,74
8018,move two to the left and then go up  fifty-six,-2,56
8019,move seventy-one to the left and then go up  three,-71,3
8020,move seventy-three to the left and then go up  fifty-seven,-73,57
8021,move eight to the left and then go up  twenty,-8,20
8022,move twenty-four to the left and then go up  seven,-24,7
8023,move seventy-four to the left and then go up  thirteen,-74,13
8024,move ninety-two to the left and then go up  eight,-92,8
8025,move seventy-three to the left and then go up  twenty-four,-73,24
8026,move ninety to the left and then go up  sixty-nine,-90,69
8027,move thirty-three to the left and then go up  thirty-one,-33,31
8028,move twenty-eight to the left and then go up  twenty-one,-28,21
8029,move thirty-six to the left and then go up  eighty-two,-36,82
8030,move sixty-five to the left and then go up  ninety,-65,90
8031,move ninety-seven to the left and then go up  thirty-six,-97,36
8032,move forty-five to the left and then go up  ninety-four,-45,94
8033,move nineteen to the left and then go up  seventy-five,-19,75
8034,move twelve to the left and then go up  twenty-six,-12,26
8035,move ten to the left and then go up  eighty-five,-10,85
8036,move four to the left and then go up  sixty-six,-4,66
8037,move nineteen to the left and then go up  sixty-five,-19,65
8038,move eighty-five to the left and then go up  thirty,-85,30
8039,move twenty to the left and then go up  fifty-four,-20,54
8040,move ninety-two to the left and then go up  twenty-two,-92,22
8041,move seventy-one to the left and then go up  fifty-six,-71,56
8042,move twenty-nine to the left and then go up  nine,-29,9
8043,move eighty to the left and then go up  sixty-one,-80,61
8044,move fifty-one to the left and then go up  nine,-51,9
8045,move forty-three to the left and then go up  forty-six,-43,46
8046,move twenty-three to the left and then go up  twenty-one,-23,21
8047,move thirty-one to the left and then go up  fifteen,-31,15
8048,move fifteen to the left and then go up  sixty-four,-15,64
8049,move ninety-nine to the left and then go up  seventy-one,-99,71
8050,move thirty-nine to the left and then go up  seventy-three,-39,73
8051,move thirty-five to the left and then go up  eighty-four,-35,84
8052,move twenty-two to the left and then go up  one hundred,-22,100
8053,move ninety to the left and then go up  thirty-two,-90,32
8054,move forty-eight to the left and then go up  fifty,-48,50
8055,move twenty-eight to the left and then go up  eighty-eight,-28,88
8056,move eighty-three to the left and then go up  sixty,-83,60
8057,move sixty-five to the left and then go up  seventy-six,-65,76
8058,move thirty-five to the left and then go up  eighty-seven,-35,87
8059,move ninety-six to the left and then go up  forty-three,-96,43
8060,move fifty-one to the left and then go up  eighty-three,-51,83
8061,move forty-six to the left and then go up  thirty-eight,-46,38
8062,move twenty-eight to the left and then go up  eleven,-28,11
8063,move eighty-eight to the left and then go up  thirty-eight,-88,38
8064,move seventeen to the left and then go up  forty-one,-17,41
8065,move eighty-one to the left and then go up  eighty-four,-81,84
8066,move nineteen to the left and then go up  forty-two,-19,42
8067,move thirty-three to the left and then go up  forty-eight,-33,48
8068,move seventy-three to the left and then go up  seventy-nine,-73,79
8069,move eighty-two to the left and then go up  forty-one,-82,41
8070,move sixty-one to the left and then go up  four,-61,4
8071,move thirty-five to the left and then go up  fifty-seven,-35,57
8072,move eighty-three to the left and then go up  seventy-one,-83,71
8073,move eighty to the left and then go up  ninety-one,-80,91
8074,move ninety-seven to the left and then go up  seventy-four,-97,74
8075,move four to the left and then go up  eighty,-4,80
8076,move sixty-one to the left and then go up  ninety-three,-61,93
8077,move forty-five to the left and then go up  twelve,-45,12
8078,move seventy-four to the left and then go up  sixty-one,-74,61
8079,move eighty-seven to the left and then go up  thirteen,-87,13
8080,move seventy-one to the left and then go up  forty-two,-71,42
8081,move four to the left and then go up  seventy-one,-4,71
8082,move eighty-one to the left and then go up  forty,-81,40
8083,move fifty-six to the left and then go up  seventeen,-56,17
8084,move fourteen to the left and then go up  ninety-nine,-14,99
8085,move seventy-three to the left and then go up  eighty-seven,-73,87
8086,move six to the left and then go up  seventy-seven,-6,77
8087,move thirty-six to the left and then go up  ninety,-36,90
8088,move seventy-nine to the left and then go up  thirty-five,-79,35
8089,move seventy-six to the left and then go up  fifty-three,-76,53
8090,move forty-two to the left and then go up  thirty,-42,30
8091,move twenty-nine to the left and then go up  forty-five,-29,45
8092,move eight to the left and then go up  seventy-six,-8,76
8093,move forty-five to the left and then go up  thirty-six,-45,36
8094,move ninety-eight to the left and then go up  eighty-five,-98,85
8095,move two to the left and then go up  fifty-seven,-2,57
8096,move nineteen to the left and then go up  thirty-four,-19,34
8097,move eighty-three to the left and then go up  seventy-five,-83,75
8098,move eighty-three to the left and then go up  five,-83,5
8099,move forty to the left and then go up  fifty-four,-40,54
8100,move fifty-eight to the left and then go up  fifteen,-58,15
8101,move eighty-six to the left and then go up  forty-three,-86,43
8102,move eighty-two to the left and then go up  twenty-four,-82,24
8103,move ninety-eight to the left and then go up  forty-nine,-98,49
8104,move forty-seven to the left and then go up  ninety-nine,-47,99
8105,move twenty-nine to the left and then go up  ninety,-29,90
8106,move seven to the left and then go up  seventeen,-7,17
8107,move fifty-seven to the left and then go up  eighty-six,-57,86
8108,move twenty-three to the left and then go up  one,-23,1
8109,move ninety-one to the left and then go up  eighty-six,-91,86
8110,move seventy-five to the left and then go up  eighty,-75,80
8111,move forty-one to the left and then go up  ninety-seven,-41,97
8112,move sixty-three to the left and then go up  eighty,-63,80
8113,move eighteen to the left and then go up  fifty-seven,-18,57
8114,move forty-five to the left and then go up  sixty,-45,60
8115,move fifty-three to the left and then go up  eighty-one,-53,81
8116,move ten to the left and then go up  fifty-seven,-10,57
8117,move forty-six to the left and then go up  six,-46,6
8118,move twenty-three to the left and then go up  ninety-four,-23,94
8119,move one to the left and then go up  sixty-nine,-1,69
8120,move ninety-three to the left and then go up  sixty-one,-93,61
8121,move fifty-five to the left and then go up  eighty-eight,-55,88
8122,move ninety-seven to the left and then go up  eighty-six,-97,86
8123,move twenty-three to the left and then go up  fifty-one,-23,51
8124,move seventy-seven to the left and then go up  eighty-one,-77,81
8125,move ninety-three to the left and then go up  forty-one,-93,41
8126,move seventy-five to the left and then go up  ninety-six,-75,96
8127,move sixty-six to the left and then go up  thirty-nine,-66,39
8128,move forty-five to the left and then go up  ninety-five,-45,95
8129,move fifty-three to the left and then go up  eighty-five,-53,85
8130,move eighty-four to the left and then go up  eighty-nine,-84,89
8131,move twenty-three to the left and then go up  ninety-six,-23,96
8132,move ninety-nine to the left and then go up  twenty-five,-99,25
8133,move eighty-three to the left and then go up  fifty-three,-83,53
8134,move one hundred to the left and then go up  ninety-five,-100,95
8135,move thirty-seven to the left and then go up  twenty-four,-37,24
8136,move forty-one to the left and then go up  sixty-six,-41,66
8137,move ninety-nine to the left and then go up  ninety-five,-99,95
8138,move ninety-three to the left and then go up  forty-three,-93,43
8139,move ninety to the left and then go up  thirty-one,-90,31
8140,move fifty-two to the left and then go up  twenty-four,-52,24
8141,move ninety-three to the left and then go up  four,-93,4
8142,move forty-seven to the left and then go up  forty-three,-47,43
8143,move forty-seven to the left and then go up  seventy-two,-47,72
8144,move thirty-four to the left and then go up  twenty-eight,-34,28
8145,move thirty-one to the left and then go up  three,-31,3
8146,move five to the left and then go up  eight,-5,8
8147,move sixty-seven to the left and then go up  sixty-four,-67,64
8148,move eighty-two to the left and then go up  twenty-six,-82,26
8149,move eighty to the left and then go up  thirteen,-80,13
8150,move fifty-seven to the left and then go up  eighty-nine,-57,89
8151,move forty-five to the left and then go up  seventy-one,-45,71
8152,move forty-seven to the left and then go up  twenty-seven,-47,27
8153,move thirty-seven to the left and then go up  eighty-four,-37,84
8154,move sixty to the left and then go up  seventy-five,-60,75
8155,move eighty-three to the left and then go up  sixty-three,-83,63
8156,move eighty-six to the left and then go up  forty-three,-86,43
8157,move three to the left and then go up  one hundred,-3,100
8158,move six to the left and then go up  fifty-two,-6,52
8159,move twenty-six to the left and then go up  eighty-three,-26,83
8160,move forty-seven to the left and then go up  forty,-47,40
8161,move twenty-five to the left and then go up  twenty-four,-25,24
8162,move twelve to the left and then go up  seventy-two,-12,72
8163,move five to the left and then go up  twenty-five,-5,25
8164,move twenty-seven to the left and then go up  thirty-six,-27,36
8165,move sixty-four to the left and then go up  sixty-nine,-64,69
8166,move sixty-one to the left and then go up  seventy-five,-61,75
8167,move ninety-eight to the left and then go up  forty-eight,-98,48
8168,move nineteen to the left and then go up  sixty,-19,60
8169,move eighty-seven to the left and then go up  twelve,-87,12
8170,move ninety-seven to the left and then go up  ninety-six,-97,96
8171,move ninety to the left and then go up  thirty-one,-90,31
8172,move sixty-four to the left and then go up  seventy-four,-64,74
8173,move fifty-one to the left and then go up  forty-three,-51,43
8174,move forty-seven to the left and then go up  thirty-three,-47,33
8175,move six to the left and then go up  twenty,-6,20
8176,move forty-five to the left and then go up  eight,-45,8
8177,move thirty-nine to the left and then go up  seventy-five,-39,75
8178,move twenty-one to the left and then go up  eighteen,-21,18
8179,move seventy-one to the left and then go up  two,-71,2
8180,move forty-four to the left and then go up  ninety-seven,-44,97
8181,move seventy-one to the left and then go up  twelve,-71,12
8182,move fifteen to the left and then go up  sixty-seven,-15,67
8183,move thirty to the left and then go up  nineteen,-30,19
8184,move twenty-five to the left and then go up  seventeen,-25,17
8185,move ten to the left and then go up  fifty-seven,-10,57
8186,move ninety-six to the left and then go up  fifty-three,-96,53
8187,move forty-two to the left and then go up  fifty-two,-42,52
8188,move sixty-one to the left and then go up  forty-four,-61,44
8189,move twenty-one to the left and then go up  sixty-one,-21,61
8190,move eighty-four to the left and then go up  twenty-four,-84,24
8191,move sixty-one to the left and then go up  fourteen,-61,14
8192,move fourteen to the left and then go up  forty,-14,40
8193,move fifty-one to the left and then go up  thirty-four,-51,34
8194,move forty-nine to the left and then go up  thirty-five,-49,35
8195,move seven to the left and then go up  thirty-three,-7,33
8196,move forty-eight to the left and then go up  one hundred,-48,100
8197,move forty-nine to the left and then go up  twenty-seven,-49,27
8198,move fourteen to the left and then go up  twenty-seven,-14,27
8199,move forty-three to the left and then go up  seventy-one,-43,71
8200,move nine to the left and then go up  fifty-two,-9,52
8201,move twenty-two to the left and then go up  twenty-two,-22,22
8202,move sixty-three to the left and then go up  nine,-63,9
8203,move ninety-eight to the left and then go up  five,-98,5
8204,move seven to the left and then go up  eighty-three,-7,83
8205,move thirty-one to the left and then go up  sixty-one,-31,61
8206,move thirty-one to the left and then go up  twenty-five,-31,25
8207,move forty-five to the left and then go up  fifty-three,-45,53
8208,move twenty-four to the left and then go up  six,-24,6
8209,move forty-four to the left and then go up  thirteen,-44,13
8210,move fifty to the left and then go up  forty-three,-50,43
8211,move thirty-four to the left and then go up  eighty-two,-34,82
8212,move seventy-six to the left and then go up  fifty-eight,-76,58
8213,move ninety-three to the left and then go up  fifteen,-93,15
8214,move thirty-seven to the left and then go up  seventy-seven,-37,77
8215,move thirty-seven to the left and then go up  thirty-nine,-37,39
8216,move eight to the left and then go up  one hundred,-8,100
8217,move seventy-two to the left and then go up  seventy-six,-72,76
8218,move sixty-six to the left and then go up  sixty-seven,-66,67
8219,move sixty-two to the left and then go up  five,-62,5
8220,move five to the left and then go up  forty-three,-5,43
8221,move twenty-nine to the left and then go up  sixty-eight,-29,68
8222,move seventy-seven to the left and then go up  fifty-seven,-77,57
8223,move seventy-two to the left and then go up  ninety-three,-72,93
8224,move sixteen to the left and then go up  sixteen,-16,16
8225,move fifty-six to the left and then go up  seventy,-56,70
8226,move ten to the left and then go up  ten,-10,10
8227,move seventy-three to the left and then go up  sixty-seven,-73,67
8228,move fifty-seven to the left and then go up  forty-five,-57,45
8229,move two to the left and then go up  one,-2,1
8230,move nineteen to the left and then go up  ninety-two,-19,92
8231,move fifty-six to the left and then go up  seventy-one,-56,71
8232,move twenty-seven to the left and then go up  seventy-three,-27,73
8233,move eight to the left and then go up  thirty-two,-8,32
8234,move eighty-seven to the left and then go up  three,-87,3
8235,move fifty-one to the left and then go up  sixty-six,-51,66
8236,move seventy-seven to the left and then go up  fourteen,-77,14
8237,move thirty-five to the left and then go up  twenty-seven,-35,27
